Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD
Montee Ball,WISC,307,1954,31,1923,6.26,--,33
LaMichael James,ORE,247,1870,65,1805,7.31,--,18
Ronnie Hillman,SDSU,311,1784,73,1711,5.5,--,19
David Wilson,VT,290,1846,137,1709,5.89,--,9
Bobby Rainey,WKU,369,1810,115,1695,4.59,--,13
Trent Richardson,ALA,283,1740,61,1679,5.93,--,21
Robbie Rouse,FRES,329,1607,58,1549,4.71,--,13
Terrance Ganaway,BAY,250,1566,19,1547,6.19,--,21
John White IV,UTAH,316,1609,90,1519,4.81,--,15
Robert Turbin,USU,249,1538,21,1517,6.09,--,19
Chris Polk,WASH,293,1535,47,1488,5.08,--,12
Bernard Pierce,TEM,273,1518,37,1481,5.42,--,27
Branden Oliver,BUFF,306,1444,49,1395,4.56,--,13
Marcus Coker,IOWA,281,1417,33,1384,4.93,--,15
Chandler Harnish,NIU,194,1510,131,1379,7.11,--,11
Rex Burkhead,NEB,284,1406,49,1357,4.78,--,15
Stepfan Taylor,STAN,242,1363,33,1330,5.5,--,10
Isi Sofele,CAL,252,1382,60,1322,5.25,--,10
Doug Martin,BSU,263,1375,76,1299,4.94,--,16
Lamar Miller,MIA,227,1335,63,1272,5.6,--,9
Isaiah Pead,CINN,237,1338,79,1259,5.31,--,12
Giovani Bernard,UNC,239,1324,71,1253,5.24,--,13
Michael Dyer,AUB,242,1293,51,1242,5.13,--,10
Silas Redd,PSU,244,1262,21,1241,5.09,--,7
Zach Line,SMU,208,1256,32,1224,5.88,--,17
Joseph Randle,OKST,208,1248,32,1216,5.85,--,24
Zac Stacy,VAN,201,1267,74,1193,5.94,--,14
Vick Ballard,MSST,193,1228,39,1189,6.16,--,10
Alfred Morris,FAU,235,1238,52,1186,5.05,--,9
Andre Ellington,CLEM,223,1218,40,1178,5.28,--,11
Denard Robinson,MICH,221,1349,173,1176,5.32,--,16
Henry Josey,MIZZ,145,1191,23,1168,8.06,--,9
Lyle McCombs,CONN,275,1244,93,1151,4.19,--,7
Kedrick Rhodes,FIU,234,1194,45,1149,4.91,--,8
Collin Klein,KSST,317,1448,307,1141,3.6,--,27
Chris Nwoke,CSU,200,1176,46,1130,5.65,--,9
Lance Dunbar,UNT,269,1197,82,1115,4.14,--,10
Asher Clark,AF,163,1155,45,1110,6.81,--,7
Cierre Wood,ND,217,1186,84,1102,5.08,--,9
Kenny Turner,NMST,219,1141,67,1074,4.9,--,10
Adonis Thomas,TOL,171,1114,43,1071,6.26,--,12
Raymond Maples,ARMY,146,1078,12,1066,7.3,--,4
Antwon Bailey,SYR,240,1097,46,1051,4.38,--,6
Cameron Marshall,AZST,230,1098,48,1050,4.57,--,18
Cyrus Gray,TAMU,198,1105,60,1045,5.28,--,12
Fitzgerald Toussaint,MICH,187,1091,50,1041,5.57,--,9
Curtis McNeal,USC,145,1038,33,1005,6.93,--,6
Tevin Washington,GT,243,1126,139,987,4.06,--,14
Donte Harden,OHIO,187,1035,49,986,5.27,--,2
James Franklin,MIZZ,217,1145,164,981,4.52,--,15
Johnathan Franklin,UCLA,166,1003,27,976,5.88,--,5
John Hubert,KSST,200,1034,64,970,4.85,--,3
MarQueis Gray,MINN,199,1090,124,966,4.85,--,6
Jawon Chisholm,AKR,218,1021,60,961,4.41,--,5
Ray Graham,PITT,164,991,33,958,5.84,--,9
Jasmin Hopkins,NIU,187,997,41,956,5.11,--,15
Le'Veon Bell,MSU,182,987,39,948,5.21,--,13
Kenjon Barner,ORE,152,971,32,939,6.18,--,11
Orleans Darkwa,TULN,210,964,40,924,4.4,--,13
Matt Brown,TEM,155,947,31,916,5.91,--,6
Perry Jones,UVA,184,960,45,915,4.97,--,5
Kriss Proctor,NAVY,211,1065,151,914,4.33,--,14
Lampford Mark,NEV,159,929,18,911,5.73,--,10
Brandon Rutley,SJSU,216,955,52,903,4.18,--,12
Christine Michael,TAMU,149,920,21,899,6.03,--,8
Jawan Jamison,RUT,231,996,99,897,3.88,--,9
James Washington,NCST,226,925,28,897,3.97,--,7
Davin Meggett,MD,171,922,26,896,5.24,--,4
Ja'Terian Douglas,TULS,112,916,33,883,7.88,--,4
Alexander Teich,NAVY,186,886,3,883,4.75,--,4
Trey Watts,TULS,157,913,32,881,5.61,--,3
Waymon James,TCU,121,884,9,875,7.23,--,6
Taylor Martinez,NEB,188,1040,166,874,4.65,--,9
Michael Smith,USU,114,885,15,870,7.63,--,9
Chris Rainey,FLA,171,938,77,861,5.04,--,2
Tyler Smith,RICE,155,881,21,860,5.55,--,5
Rodney Stewart,COL,189,912,58,854,4.52,--,4
Isaiah Crowell,UGA,185,901,51,850,4.59,--,5
Anthon Samuel,BGSU,144,874,30,844,5.86,--,5
Lennon Creer,LT,198,878,40,838,4.23,--,9
Joe Banyard,UTEP,127,867,35,832,6.55,--,6
Brandon Pendergrass,WF,188,887,64,823,4.38,--,9
Charles Sims,HOU,110,834,13,821,7.46,--,9
Marcus Lattimore,SCAR,163,835,17,818,5.02,--,10
Darrell Scott,USF,153,824,10,814,5.32,--,5
Stephen Houston,IND,151,833,31,802,5.31,--,8
Jonas Gray,ND,114,812,21,791,6.94,--,12
Jahwan Edwards,BALL,178,811,25,786,4.42,--,11
Derrick Coleman,UCLA,152,794,29,765,5.03,--,11
Michael Ford,LSU,127,772,16,756,5.95,--,7
James White,IAST,158,819,65,754,4.77,--,8
Malcolm Brown,TEX,172,779,37,742,4.31,--,5
Dustin Garrison,WVU,136,777,35,742,5.46,--,6
Alex Gillett,EMU,169,918,182,736,4.36,--,3
Jamal Woodyard,USM,110,766,34,732,6.65,--,3
Michael Hayes,HOU,138,751,24,727,5.27,--,11
James Sims,KAN,182,747,20,727,3.99,--,9
Ed Wesley,TCU,120,745,19,726,6.05,--,6
Braxton Miller,OSU,159,951,236,715,4.5,--,7
James White,WISC,141,741,28,713,5.06,--,6
